similar doc by Euc
(0.07265004921624627, 212)
(0.07344578137569455, 31)
(0.07351835270284449, 215)
(0.07351961648373541, 52)
(0.07431960775126865, 256)
(0.07610936186987534, 258)
(0.07864051586118932, 5)
(0.0787088728245982, 83)
(0.07891551684904712, 298)
(0.07924165396981295, 194)
similar doc by Cos
(0.08130007347296932, 51)
(0.07995050069737829, 43)
(0.0783660720297143, 293)
(0.07747957422830427, 37)
(0.06328725816004811, 196)
(0.062038705278493284, 151)
(0.058792651462316055, 148)
(0.0553841085604358, 238)
(0.053807956989958786, 121)
(0.05304787446553542, 129)
similar word by Euc jirgas
(0, 'achieve')
(0, "afghanistan's")
(0, 'afghans')
(0, 'aziz')
(0, 'burn')
(0, 'condemned')
(0, 'crossing')
(0, 'diversion')
(0, 'fencing')
(0, 'gatherings')
similar word by cos jirgas
(0.1674243848060015, 'aggression')
(0.16703185481169164, 'plaudits')
(0.16691800119913108, 'spidery')
(0.16599138558401008, 'lehmannmaupin.com')
(0.1639117340951027, 'woods')
(0.16017480494077477, 'francesco')
(0.16014371993916932, 'bringing')
(0.16010403526517827, 'bobsledders')
(0.15932461532564943, 'electricity')
(0.15928210809855828, '130,000')
